s,C,1/m,m,1/m,1/m,1/m
Time,T_fire,K_fire,V_fire,K_left,K_right,K_branch
 1.3366480E+001, 1.9999456E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3596936E+001, 1.9999450E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3827393E+001, 1.9999446E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4288306E+001, 1.9999441E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4518762E+001, 1.9999436E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4749219E+001, 1.9999432E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5210132E+001, 1.9999428E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5440589E+001, 1.9999423E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5671045E+001, 1.9999420E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5901502E+001, 1.9999417E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6362415E+001, 1.9999413E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6592871E+001, 1.9999409E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6823328E+001, 1.9999407E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.7284241E+001, 1.9999403E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.7514697E+001, 1.9999400E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.7745154E+001, 1.9999397E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8206067E+001, 1.9999394E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8436524E+001, 1.9999391E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8666980E+001, 1.9999389E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9127893E+001, 1.9999387E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9358350E+001, 1.9999384E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9588806E+001, 1.9999382E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9819263E+001, 1.9999381E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0280176E+001, 1.9999378E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0510633E+001, 1.9999376E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0741089E+001, 1.9999375E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.1202002E+001, 1.9999373E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.1432459E+001, 1.9999371E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.1662915E+001, 1.9999370E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2123828E+001, 1.9999368E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2354285E+001, 1.9999367E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2584741E+001, 1.9999366E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2815198E+001, 1.9999365E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.3276111E+001, 1.9999364E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.3506568E+001, 1.9999362E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
