s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_CABLE_FUEL,MLR_PRODUCTS,MLR_HYDROGEN CYANIDE
 3.7874786E+001, 2.0393963E+001, 0.0000000E+000,-4.7942330E+000, 2.6771879E-001,-5.0125823E-002, 3.0140512E-003, 0.0000000E+000, 0.0000000E+000, 1.5944913E+001, 1.5820337E+001, 0.0000000E+000, 1.2617886E-003, 0.0000000E+000, 0.0000000E+000
 3.8203159E+001, 2.1422018E+001, 0.0000000E+000,-5.3962583E+000, 2.7504764E-001,-5.4086035E-002, 3.1407608E-003, 0.0000000E+000, 0.0000000E+000, 1.6149638E+001, 1.6249862E+001, 0.0000000E+000, 1.3159892E-003, 0.0000000E+000, 0.0000000E+000
 3.8422077E+001, 2.1832408E+001, 0.0000000E+000,-6.0433843E+000, 2.7093370E-001,-5.7768418E-002, 3.2491140E-003, 0.0000000E+000, 0.0000000E+000, 1.5943858E+001, 1.6005438E+001, 0.0000000E+000, 1.3626016E-003, 0.0000000E+000, 0.0000000E+000
 3.8750450E+001, 2.2473868E+001, 0.0000000E+000,-6.2141103E+000, 2.7891860E-001,-6.2935723E-002, 3.3460938E-003, 0.0000000E+000, 0.0000000E+000, 1.6339076E+001, 1.6479087E+001, 0.0000000E+000, 1.4048780E-003, 0.0000000E+000, 0.0000000E+000
 3.9078827E+001, 2.3302617E+001, 0.0000000E+000,-6.7045852E+000, 2.8441135E-001,-8.3702904E-002, 3.4652313E-003, 0.0000000E+000, 0.0000000E+000, 1.6702736E+001, 1.6802206E+001, 0.0000000E+000, 1.4569106E-003, 0.0000000E+000, 0.0000000E+000
 3.9383350E+001, 2.4454275E+001, 0.0000000E+000,-7.1408941E+000, 2.9591979E-001,-1.3362657E-001, 3.5900193E-003, 0.0000000E+000, 0.0000000E+000, 1.7216473E+001, 1.7479264E+001, 0.0000000E+000, 1.5105168E-003, 0.0000000E+000, 0.0000000E+000
 3.9649563E+001, 2.5441542E+001, 0.0000000E+000,-7.4824368E+000, 3.0581283E-001,-2.0760902E-001, 3.6928877E-003, 0.0000000E+000, 0.0000000E+000, 1.7871549E+001, 1.8061002E+001, 0.0000000E+000, 1.5538268E-003, 0.0000000E+000, 0.0000000E+000
 3.9911015E+001, 2.5699648E+001, 0.0000000E+000,-7.7228857E+000, 3.0465892E-001,-2.9191672E-001, 3.7944962E-003, 0.0000000E+000, 0.0000000E+000, 1.8135261E+001, 1.7993299E+001, 0.0000000E+000, 1.5962234E-003, 0.0000000E+000, 0.0000000E+000
 4.0237576E+001, 2.5673032E+001, 0.0000000E+000,-7.7948300E+000, 3.0126669E-001,-3.8629116E-001, 3.9139941E-003, 0.0000000E+000, 0.0000000E+000, 1.7609369E+001, 1.7797092E+001, 0.0000000E+000, 1.6461382E-003, 0.0000000E+000, 0.0000000E+000
 4.0574341E+001, 2.7068741E+001, 0.0000000E+000,-7.8529139E+000, 3.2264458E-001,-4.8254406E-001, 4.0476609E-003, 0.0000000E+000, 0.0000000E+000, 1.8649430E+001, 1.9059976E+001, 0.0000000E+000, 1.7018970E-003, 0.0000000E+000, 0.0000000E+000
 4.0911106E+001, 2.8129342E+001, 0.0000000E+000,-8.3741093E+000, 3.3044100E-001,-5.7262943E-001, 4.1778133E-003, 0.0000000E+000, 0.0000000E+000, 1.9389143E+001, 1.9517222E+001, 0.0000000E+000, 1.7560976E-003, 0.0000000E+000, 0.0000000E+000
 4.1135620E+001, 2.8928891E+001, 0.0000000E+000,-8.5063436E+000, 3.4077700E-001,-6.3799261E-001, 4.2877060E-003, 0.0000000E+000, 0.0000000E+000, 1.9839256E+001, 2.0129620E+001, 0.0000000E+000, 1.8016260E-003, 0.0000000E+000, 0.0000000E+000
 4.1472385E+001, 2.9669713E+001, 0.0000000E+000,-8.8401683E+000, 3.4681257E-001,-6.9359921E-001, 4.3965252E-003, 0.0000000E+000, 0.0000000E+000, 2.0301393E+001, 2.0487154E+001, 0.0000000E+000, 1.8471545E-003, 0.0000000E+000, 0.0000000E+000
 4.1809151E+001, 3.0578810E+001, 0.0000000E+000,-9.0962085E+000, 3.5695105E-001,-7.5368551E-001, 4.5219187E-003, 0.0000000E+000, 0.0000000E+000, 2.0910551E+001, 2.1090389E+001, 0.0000000E+000, 1.9013550E-003, 0.0000000E+000, 0.0000000E+000
 4.2008224E+001, 3.1939374E+001, 0.0000000E+000,-9.2860026E+000, 3.7629176E-001,-7.9837125E-001, 4.6170437E-003, 0.0000000E+000, 0.0000000E+000, 2.1748141E+001, 2.2235909E+001, 0.0000000E+000, 1.9447154E-003, 0.0000000E+000, 0.0000000E+000
 4.2306835E+001, 3.2173670E+001, 0.0000000E+000,-9.3287918E+000, 3.7871637E-001,-8.4022473E-001, 4.6955442E-003, 0.0000000E+000, 0.0000000E+000, 2.2248402E+001, 2.2388066E+001, 0.0000000E+000, 1.9859079E-003, 0.0000000E+000, 0.0000000E+000
 4.2605446E+001, 3.2806271E+001, 0.0000000E+000,-9.5401309E+000, 3.8501288E-001,-8.9054696E-001, 4.7376338E-003, 0.0000000E+000, 0.0000000E+000, 2.2607771E+001, 2.2765343E+001, 0.0000000E+000, 2.0336043E-003, 0.0000000E+000, 0.0000000E+000
 4.2904060E+001, 3.3561751E+001, 0.0000000E+000,-9.9534234E+000, 3.8975524E-001,-9.4344104E-001, 4.9245631E-003, 0.0000000E+000, 0.0000000E+000, 2.2981696E+001, 2.3059566E+001, 0.0000000E+000, 2.0834688E-003, 0.0000000E+000, 0.0000000E+000
 4.3202671E+001, 3.4349648E+001, 0.0000000E+000,-1.0073086E+001, 4.0008237E-001,-9.9469037E-001, 5.0750621E-003, 0.0000000E+000, 0.0000000E+000, 2.3403830E+001, 2.3687029E+001, 0.0000000E+000, 2.1311653E-003, 0.0000000E+000, 0.0000000E+000
 4.3511234E+001, 3.4911215E+001, 0.0000000E+000,-1.0220716E+001, 4.0611168E-001,-1.0373013E+000, 5.1939352E-003, 0.0000000E+000, 0.0000000E+000, 2.4149346E+001, 2.4064503E+001, 0.0000000E+000, 2.1815893E-003, 0.0000000E+000, 0.0000000E+000
 4.3839706E+001, 3.5727618E+001, 0.0000000E+000,-1.0608580E+001, 4.1245271E-001,-1.0744890E+000, 5.3071030E-003, 0.0000000E+000, 0.0000000E+000, 2.4207285E+001, 2.4462309E+001, 0.0000000E+000, 2.2330623E-003, 0.0000000E+000, 0.0000000E+000
 4.4168179E+001, 3.6808265E+001, 0.0000000E+000,-1.1698259E+001, 4.1125297E-001,-1.1142752E+000, 5.4102687E-003, 0.0000000E+000, 0.0000000E+000, 2.4342329E+001, 2.4412394E+001, 0.0000000E+000, 2.2850949E-003, 0.0000000E+000, 0.0000000E+000
 4.4496651E+001, 3.7732538E+001, 0.0000000E+000,-1.1733237E+001, 4.2498045E-001,-1.1640644E+000, 5.5256472E-003, 0.0000000E+000, 0.0000000E+000, 2.4878781E+001, 2.5265743E+001, 0.0000000E+000, 2.3392954E-003, 0.0000000E+000, 0.0000000E+000
 4.4715633E+001, 3.8466847E+001, 0.0000000E+000,-1.1698591E+001, 4.3576770E-001,-1.2136378E+000, 5.6258940E-003, 0.0000000E+000, 0.0000000E+000, 2.5812185E+001, 2.5996011E+001, 0.0000000E+000, 2.3837398E-003, 0.0000000E+000, 0.0000000E+000
 4.5044106E+001, 3.9210282E+001, 0.0000000E+000,-1.1966396E+001, 2.9242015E-001,-1.2647987E+000, 5.7381098E-003, 0.0000000E+000, 0.0000000E+000, 2.6189323E+001, 2.6277246E+001, 0.0000000E+000, 2.4281843E-003, 0.0000000E+000, 0.0000000E+000
 4.5329231E+001, 4.0822205E+001, 0.0000000E+000,-1.2313595E+001,-2.4027959E-001,-1.3155536E+000, 5.8478800E-003, 0.0000000E+000, 0.0000000E+000, 2.6761387E+001, 2.6958625E+001, 0.0000000E+000, 2.4758808E-003, 0.0000000E+000, 0.0000000E+000
